YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE
2017,California,Contract County,Orange County,CANYON I,17105068,9/25/17,10/1/17,9 - Miscellaneous,<Null>,<Null>,2661.415,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Contract County,Orange County,CANYON II,17110494,10/9/17,10/17/17,5 - Debris,<Null>,9217,9198.028,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Nevada - Yuba - Placer CAL FIRE,PLEASANT,22877,8/30/17,9/6/17,14 - Unknown / Unidentified,<Null>,392,392.4852,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Nevada - Yuba - Placer CAL FIRE,BEALE,21927,8/20/17,8/22/17,11 - Powerline,<Null>,867,867.0196,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Nevada - Yuba - Placer CAL FIRE,LOBO,26275,10/8/17,10/26/17,14 - Unknown / Unidentified,Part of  the NEU Wind Complex,821,820.6441,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Diego CAL FIRE,LILAC,24612,12/7/17,12/24/17,14 - Unknown / Unidentified, ,4100,4080.615,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Diego CAL FIRE,JENNINGS 2,16909,7/11/17,7/14/17,10 - Vehicle,<Null>,400,332.5865,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Diego CAL FIRE,GATE,12098,5/20/17,5/23/17,9 - Miscellaneous,"SHOOTING, BLM INC # 7605",1500,1912.906,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Diego CAL FIRE,ECLIPSE,19081,8/21/17,8/21/17,14 - Unknown / Unidentified, ,143.3,142.9097,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,San Diego CAL FIRE,BORDER 6,19648,9/1/17,9/3/17,14 - Unknown / Unidentified, ,130,135.0444,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,PEAK,18116,9/3/17,9/9/17,10 - Vehicle,<Null>,<Null>,677.8926,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,OAKWOOD,11650,6/10/17,6/13/17,9 - Miscellaneous,<Null>,<Null>,1428.533,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,MISSION,18115,9/3/17,9/13/17,11 - Powerline, ,<Null>,988.4675,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,DETWILER,14474,7/16/17,8/31/17,9 - Miscellaneous, ,<Null>,81826.27,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,BEN,13022,6/28/17,7/6/17,10 - Vehicle,<Null>,<Null>,558.1425,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,WRIGHT,9464,5/12/17,5/13/17,14 - Unknown / Unidentified,<Null>,<Null>,1730.466,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,SPRING,13291,7/3/17,7/7/17,2 - Equipment Use,<Null>,<Null>,208.2268,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,CORONADO,16525,8/13/17,8/13/17,10 - Vehicle,<Null>,<Null>,123.1079,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,CANYON,7678,8/11/17,10/12/17,14 - Unknown / Unidentified,<Null>,140,114.1168,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,TIMM,9783,10/2/17,10/3/17,14 - Unknown / Unidentified,<Null>,40,125.7918,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,WINTER,6262,7/6/17,7/12/17,14 - Unknown / Unidentified,<Null>,1700,2366.235,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,NUNS,10049,10/8/17,10/31/17,14 - Unknown / Unidentified,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",55797,55798.19,3 - Infrared,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,PRESSLEY,10049,10/8/17,10/31/17,14 - Unknown / Unidentified,"Nuns,Partrick, Adobe, Norrbom and Pressley>Nuns ",791.88,791.8881,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,37,10393,10/8/17,10/17/17,14 - Unknown / Unidentified,Marin Co. Fire Assist,1657,1657.369,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,YOUNG,10104,10/8/17,10/25/17,14 - Unknown / Unidentified,<Null>,<Null>,106.0054,3 - Infrared,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,TUBBS,10104,10/8/17,11/1/17,14 - Unknown / Unidentified,Central Complex,36701,36701.98,3 - Infrared,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,POCKET,10104,10/8/17,11/1/17,14 - Unknown / Unidentified,Central Complex,17359,17359.33,3 - Infrared,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,ATLAS,10105,10/8/17,11/1/17,14 - Unknown / Unidentified,Southern Complex,51624,51624.66,3 - Infrared,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Sonoma - Lake - Napa CAL FIRE,SULPHER,10055,10/9/17,10/25/17,14 - Unknown / Unidentified,Mendocino Lake Complex,2206,2206.23,3 - Infrared,Suppression (Wildfire)
2017,California,Contract County,Los Angeles County,PLACERITA,187296,6/25/17,6/26/17,7 - Arson,<Null>,<Null>,759.7584,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Contract County,Los Angeles County,LAKE,178275,6/17/17,6/17/17,14 - Unknown / Unidentified,<Null>,<Null>,733.2616,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Contract County,Los Angeles County,GORMAN,223518,7/28/17,7/28/17,14 - Unknown / Unidentified,<Null>,<Null>,149.61,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Contract County,Los Angeles County,CREEK,362189,12/5/17,12/5/17,14 - Unknown / Unidentified,<Null>,15619,15619.15,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Contract County,Los Angeles County,RYE,362441,12/5/17,12/13/17,14 - Unknown / Unidentified,<Null>,6049,6047.719,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Contract County,Kern County,MING,1718713,5/20/17,5/20/17,14 - Unknown / Unidentified,CA-KRN-018713,<Null>,449.7781,1 - GPS Ground,Suppression (Wildfire)
2017,California,Contract County,Kern County,HAWK,1726219,7/7/17,7/7/17,14 - Unknown / Unidentified, ,<Null>,2940.496,1 - GPS Ground,Suppression (Wildfire)
2017,California,Contract County,Kern County,HUDSON,1727936,7/18/17,7/18/17,14 - Unknown / Unidentified,CA-KERN-27936,<Null>,1182.301,1 - GPS Ground,Suppression (Wildfire)
2017,California,Contract County,Kern County,HILL CREST,1719471,6/8/17,6/8/17,14 - Unknown / Unidentified, ,<Null>,105.0879,1 - GPS Ground,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,R-4 PARSNIP,5180,8/30/17,9/15/17,1 - Lightning,<Null>,0,18601.98,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,WEST,1810,4/1/17,4/3/17,5 - Debris,<Null>,0,401.2877,1 - GPS Ground,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,LONG VALLEY,30366,7/11/17,7/27/17,10 - Vehicle,<Null>,0,83581.41,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,R-9 SHINN,4172,7/24/17,7/27/17,1 - Lightning,<Null>,0,278.1283,1 - GPS Ground,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,R-4 RANCH,4673,8/9/17,8/12/17,1 - Lightning,<Null>,0,120.2505,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,R-5 STONEY,4985,8/22/17,8/27/17,1 - Lightning,<Null>,0,203.9681,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,PEG,5095,8/26/17,8/27/17,9 - Miscellaneous,<Null>,0,148.6008,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,LONE,5155,8/29/17,8/30/17,1 - Lightning,<Null>,0,214.6641,1 - GPS Ground,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,MUD,5152,8/29/17,9/11/17,1 - Lightning,<Null>,0,6036.065,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern CA District - BLM,R-5 SPANISH,5181,8/29/17,8/31/17,1 - Lightning,<Null>,0,166.8586,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,Bureau of Land Management,Northern California District BLM,SLINKARD,1478,8/29/17,9/21/17,1 - Lightning,<Null>,0,8923.495,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Madera - Mariposa CAL FIRE,EASTMAM,19222,9/18/17,9/18/17,11 - Powerline,<Null>,483,482.3408,1 - GPS Ground,Suppression (Wildfire)
2017,California,Local Response Area,Los Angeles City FD,SKIRBALL,30179,12/6/17,12/7/17,4 - Campfire,"FIMT most info from LAFD website, homelss cook fire",422,371.3076,8 - Unknown,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Riverside CAL FIRE,MANZANITA,78840,6/26/17,6/30/17,10 - Vehicle, ,6309,6303.659,3 - Infrared,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,MURPHY,13900,9/19/17,9/20/17,2 - Equipment Use,<Null>,<Null>,236.9534,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,TUMEY,5741,4/29/17,4/30/17,9 - Miscellaneous,<Null>,<Null>,160.164,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,GARZA,9755,7/9/17,7/25/17,10 - Vehicle,blank,<Null>,48886.66,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,JAYNE,5281,4/20/17,4/21/17,2 - Equipment Use,<Null>,<Null>,4533.284,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,PARK,10248,7/17/17,7/19/17,2 - Equipment Use,blank,<Null>,1648.704,2 - GPS Air,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,ELM,6727,5/18/17,5/23/17,2 - Equipment Use,<Null>,<Null>,11146.75,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,DERRICK,9289,7/2/17,7/5/17,14 - Unknown / Unidentified,<Null>,<Null>,1561.663,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,CREEK,8759,6/23/17,6/27/17,5 - Debris,<Null>,<Null>,356.9353,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,COALINGA,12726,8/30/17,8/30/17,2 - Equipment Use,<Null>,<Null>,102.2866,1 - GPS Ground,Suppression (Wildfire)
2017,California,California Department of Forestry and Fire Protection,Fresno-Kings CAL FIRE,FLAT,12465,8/26/17,8/30/17,2 - Equipment Use,<Null>,<Null>,110.8288,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Shasta-Trinity National Forest,FORK,1555,8/7/17,11/15/17,1 - Lightning,CONT_DATE based on FIRESTAT Fire Out Date/Time,3532,3372.92,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Shasta-Trinity National Forest,HELENA,1770,8/30/17,11/14/17,9 - Miscellaneous,Unified Command with Cal-Fire/USFS,18316,18493.71,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Tahoe National Forest,CHILCOOT,992,8/6/17,8/7/17,1 - Lightning,,1021,1019.992,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Tahoe National Forest,ELEPHANT,910,7/29/17,7/31/17,1 - Lightning,,140,139.4669,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Stanislaus National Forest,MCCORMICK,2263,8/18/17,11/16/17,1 - Lightning,CONT_DATE from FIRESTAT Fire info Summit complex,4426,4423.208,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Stanislaus National Forest,CREEK ,2590,9/3/17,9/12/17,1 - Lightning,CONT_DATE  based on FIRESTAT Fire Out Date/Time,1609,1747.87,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Stanislaus National Forest,DOUGLAS,1940,7/3/17,11/16/17,1 - Lightning,CONT_DATE from FIRESTAT Fire info Summit complex,311,310.7712,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Stanislaus National Forest,BUMMERS,2704,9/11/17,11/20/17,1 - Lightning,CONT_DATE from FIRESTAT Fire info Summit complex,510,510.1094,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Stanislaus National Forest,WILLOW ,2265,8/18/17,11/16/17,1 - Lightning,CONT_DATE from FIRESTAT Fire info Summit complex,134,134.3042,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,BURNEY,752,7/26/17,10/16/17,1 - Lightning,,1642,1643.643,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,DUTCHMAN,874,8/7/17,8/12/17,1 - Lightning,Ruth Complex,1522,1522.747,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,FORKS,738,7/25/17,10/1/17,1 - Lightning,,242.5,242.4736,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,HAYPRESS,914,8/10/17,10/16/17,1 - Lightning,,21301,21317.93,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,MARBLE,703,7/19/17,7/29/17,9 - Miscellaneous,,319,318.873,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,RIVERS,1289,10/14/17,10/14/17,5 - Debris,,148,147.5612,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,UKONOM,728,7/25/17,10/15/17,1 - Lightning,,4238,4240.974,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Six Rivers National Forest,WILLIE,877,8/7/17,8/22/17,1 - Lightning,Ruth Complex,3137,3140.1,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,SCHAEFFER,1317,6/24/17,11/15/17,1 - Lightning,CONT_DATE  based on FIRESTAT Fire Out Date/Time,16031,15833.21,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,PIER,2385,8/29/17,8/30/17,7 - Arson,,36556,36619.43,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,CALDWELL,2435,9/1/17,10/23/17,1 - Lightning,CONT_DATE  based on FIRESTAT Fire Out Date/Time,1383,1321.26,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,LION,2753,9/25/17,11/2/17,1 - Lightning,,19215,18913.58,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,HIGHWAY,1223,6/18/17,9/26/17,9 - Miscellaneous,CONT_DATE  based on FIRESTAT Fire Out Date/Time,1533,1522.259,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,GARDEN,1989,7/30/17,11/4/17,2 - Equipment Use,CONT_DATE  based on FIRESTAT Fire Out Date/Time,1350,1282.467,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sequoia National Forest,BELL,1380,6/27/17,7/1/17,9 - Miscellaneous,CONT_DATE  based on FIRESTAT Fire Out Date/Time,108,107.2538,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Sierra National Forest,CROWN,1419,9/7/17,11/17/17,1 - Lightning,,145,145.1785,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Sierra National Forest,BUTTE,1476,8/7/17,11/4/17,1 - Lightning,CONT_DATE  based on FIRESTAT Fire Out Date/Time,611,611.2015,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Sierra National Forest,RAILROAD,1743,8/29/17,11/18/17,9 - Miscellaneous,CONT_DATE  based on FIRESTAT Fire Out Date/Time,12377,12371.15,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Shasta-Trinity National Forest,BUCK,1850,9/12/17,10/30/17,1 - Lightning,Initial Attack I.C. was Adam Zaharris. Two small *,13343,13357.28,8 - Unknown,Suppression (Wildfire)
2017,California,USDA Forest Service,Plumas National Forest,POSLIN,1145,8/6/17,8/12/17,1 - Lightning,,860,855.2444,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Plumas National Forest,SQUIRREL,1273,9/27/17,8/29/17,7 - Arson,,350,113.0544,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Plumas National Forest,MINERVA 5,1043,7/29/17,8/16/17,7 - Arson,,4310,4339.355,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Plumas National Forest,EUREKA,1488,9/5/17,11/15/17,1 - Lightning,,450,446.1815,6 - Hand Drawn,Suppression (Wildfire)
2017,California,USDA Forest Service,Los Padres National Forest,RED,2123,8/2/17,8/3/17,1 - Lightning,<Null>CALFIRE inc # 8801,451,450.84,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Los Padres National Forest,WHITTIER,1770,7/8/17,12/21/17,9 - Miscellaneous,CONT_DATE based on Inciweb,18431,18412.4,1 - GPS Ground,Suppression (Wildfire)
2017,California,USDA Forest Service,Ventura County,THOMAS,3583,12/4/17,1/12/18,9 - Miscellaneous,CONT_DATE based on Inciweb,281893,281790.9,7 - Mixed Collection Methods,Suppression (Wildfire)
2017,California,USDA Forest Service,Klamath National Forest,CEDAR,5915,8/8/17,10/10/17,1 - Lightning,CONT_DATE est from Inciweb/IRWIN - Eclipse Complex four mile merged,6939,9129.377,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Klamath National Forest,DEEP,4527,9/7/17,9/7/17,1 - Lightning,,101,101.367,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Klamath National Forest,GARDEN,5958,8/9/17,11/13/17,1 - Lightning,CONT_DATE  based on FIRESTAT Fire Out Date/Time,180,265.481,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Klamath National Forest,ISLAND,4540,6/26/17,9/1/17,1 - Lightning,CONT_DATE  based on FIRESTAT Fire Out Date/Time,13497,1594.034,3 - Infrared,Suppression (Wildfire)
2017,California,USDA Forest Service,Klamath National Forest,LITTLE BUCK,6729,9/7/17,10/10/17,1 - Lightning,CONT_DATE est from Inciweb/IRWIN - Eclipse Complex,113,113.9625,3 - Infrared,Suppression (Wildfire)
